station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
E 72 St & Park Ave,"40.771182875406581,-73.964094221591949",Morning,379,320,699
E 16 St & Irving Pl,"40.735367055605394,-73.987973928451538",Morning,126,563,689
W 49 St & 5 Ave,"40.75795248,-73.97787642",Morning,267,413,680
W 67 St & Broadway,"40.77492513,-73.98266566",Morning,313,358,671
Brooklyn Bridge Park - Pier 2,"40.69878,-73.99712",Morning,345,323,668
Duffield St & Willoughby St,"40.69221589,-73.9842844",Morning,383,281,664
E 84 St & Park Ave,"40.77862688,-73.95772073",Morning,287,364,651
W 52 St & 9 Ave,"40.76461837,-73.98789473",Morning,372,279,651
Hicks St & Montague St,"40.69512845,-73.99595065",Morning,289,350,639
Columbia Heights & Cranberry St,"40.70037867,-73.99548059",Morning,296,334,630
9 Ave & W 28 St,"40.749370241932773,-73.999233841896057",Morning,312,317,629
Clinton Ave & Myrtle Ave,"40.693261,-73.968896",Morning,418,204,622
E 5 St & Avenue C,"40.72299208,-73.97995466",Morning,504,117,621
W 27 St & 10 Ave,"40.750181563256831,-74.002184271812439",Morning,265,355,620
Central Park West & W 100 St,"40.793393,-73.9635556",Morning,287,332,619
W 42 St & Dyer Ave,"40.758984813996342,-73.993799686431885",Morning,471,144,615
Amsterdam Ave & W 73 St,"40.779668090073123,-73.980930447578416",Morning,343,271,614
Riverside Blvd & W 67 St,"40.777507027547976,-73.988885879516587",Morning,372,236,608
E 55 St & 3 Ave,"40.758996559605116,-73.968653976917267",Morning,249,359,608
Cadman Plaza West & Montague St,"40.69383,-73.990539",Morning,330,269,599
Market St & Cherry St,"40.71076228,-73.99400398",Morning,366,229,595
E 2 St & 2 Ave,"40.7245634290432,-73.9894437789917",Morning,45,536,581
Laight St & Hudson St,"40.72185379,-74.00771779",Morning,291,290,581
Fulton St & Rockwell Pl,"40.688226,-73.979382",Morning,271,303,574
Concord St & Bridge St,"40.69766564,-73.98476437",Morning,331,233,564
3 Ave & E 62 St,"40.76312584,-73.96526895",Morning,261,302,563
E 6 St & Avenue D,"40.72228087,-73.97668709",Morning,398,165,563
N 8 St & Driggs Ave,"40.71774592,-73.95600096",Morning,244,314,558
Broadway & W 25 St,"40.742868773121117,-73.98918628692627",Morning,277,280,557
W 106 St & Central Park West,"40.7981856,-73.9605909006",Morning,361,183,544
Milton St & Franklin St,"40.72906,-73.95779",Morning,270,274,544
Dean St & 4 Ave,"40.68312489,-73.97895137",Morning,277,265,542
University Pl & E 8 St,"40.73143724085228,-73.994903415441513",Morning,271,271,542
E 56 St & 3 Ave,"40.75934501,-73.96759673",Morning,276,263,539
5 Ave & E 103 St,"40.7922553,-73.95249933",Morning,263,268,531
1 Ave & E 78 St,"40.77140426,-73.9535166",Morning,341,189,530
Riverside Dr & W 72 St,"40.780577990103339,-73.985624313354492",Morning,269,247,516
Henry St & Atlantic Ave,"40.69089272,-73.99612349",Morning,244,270,514
W 15 St & 10 Ave,"40.742753828659026,-74.007473587989807",Morning,205,300,505
Johnson St & Gold St,"40.69474881,-73.98362464",Morning,315,190,505
Catherine St & Monroe St,"40.71117444,-73.99682619",Morning,292,212,504
E 85 St & 3 Ave,"40.77801203,-73.95407149",Morning,296,204,500
Berry St & N 8 St,"40.7190095,-73.95852515",Morning,192,307,499
E 67 St & Park Ave,"40.767800801481322,-73.965920805931091",Morning,259,236,495
Pike St & Monroe St,"40.71173107,-73.99193043",Morning,316,179,495
Bialystoker Pl & Delancey St,"40.71622644,-73.98261206",Morning,357,137,494
Riverside Dr & W 78 St,"40.78414472,-73.98362492",Morning,308,182,490
Lefferts Pl & Franklin Ave,"40.680342423,-73.9557689392",Morning,315,170,485
Lafayette Ave & Fort Greene Pl,"40.68691865,-73.976682",Morning,222,254,476
DeKalb Ave & S Portland Ave,"40.68981035,-73.97493121",Morning,213,262,475
Franklin Ave & Myrtle Ave,"40.694528,-73.958089",Morning,326,139,465
Joralemon St & Adams St,"40.69246277,-73.98963911",Morning,228,227,455
Emerson Pl & Myrtle Ave,"40.69363137,-73.96223558",Morning,323,129,452
Lexington Ave & E 63 St,"40.76440023,-73.96648977",Morning,218,232,450
DeKalb Ave & Skillman St,"40.6906495,-73.95643107",Morning,301,147,448
Front St & Gold St,"40.70224,-73.982578",Morning,182,263,445
Fulton St & Washington Ave,"40.683048,-73.964915",Morning,283,160,443
Henry St & Poplar St,"40.700469,-73.991454",Morning,185,258,443
Nassau Ave & Russell St,"40.72557,-73.94434",Morning,301,141,442
Madison Ave & E 82 St,"40.7781314,-73.96069399",Morning,117,325,442
Vernon Blvd & 50 Ave,"40.74232744,-73.95411749",Morning,136,306,442
W 84 St & Broadway,"40.7867947,-73.977112",Morning,320,121,441
Henry St & Grand St,"40.714215,-73.981346",Morning,286,155,441
W 76 St & Columbus Ave,"40.7801839724239,-73.977285325527191",Morning,284,156,440
Riverside Dr & W 82 St,"40.78720869,-73.98128127",Morning,285,154,439
8 Ave & W 16 St,"40.740983,-74.001702",Morning,244,193,437
Willoughby St & Fleet St,"40.69196566,-73.9813018",Morning,185,245,430
Clinton St & Joralemon St,"40.69239502,-73.99337909",Morning,230,197,427
Grand St & Havemeyer St,"40.71286844,-73.95698119",Morning,203,222,425
Pitt St & Stanton St,"40.71926081,-73.98178024",Morning,331,94,425
